,Epsilon,Precision,Accuracy,Patient Precision,Patient Accuracy
0,0.01,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
1,0.01,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
2,0.01,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
3,0.1,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
4,0.1,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
5,0.1,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
6,1.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
7,1.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
8,1.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
9,10.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
10,10.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
11,10.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
12,100.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
13,100.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
14,100.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
15,1000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
16,1000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
17,1000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
18,10000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
19,10000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
20,10000.0,0.8778892280854775,0.8778892280854775,0.9524632271507587,0.9581830062794457
