,Queries,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
0,10000,553,0.9945750452079566,550,0,1.0,43,1.0,43,0,1.0
1,9000,553,0.9945750452079566,550,0,1.0,43,1.0,43,0,1.0
2,8000,553,0.9855334538878843,545,0,1.0,43,0.9767441860465116,42,0,1.0
3,7000,553,0.9710669077757685,537,0,1.0,43,0.9767441860465116,42,0,1.0
4,6000,553,0.9367088607594937,518,0,1.0,43,0.9767441860465116,42,0,1.0
5,5000,553,0.8137432188065099,450,0,1.0,43,0.9767441860465116,42,0,1.0
6,4000,553,0.701627486437613,388,0,1.0,43,0.9767441860465116,42,0,1.0
7,3000,553,0.5515370705244123,305,0,1.0,43,0.9767441860465116,42,0,1.0
8,2000,553,0.4394213381555154,243,0,1.0,43,0.9069767441860465,39,0,1.0
9,1000,553,0.17902350813743217,99,0,1.0,43,0.5813953488372093,25,0,1.0
